Three days of happiness,Sugura Miaki,Drama,3,12345,123
Mistborn,Brandon Sanderson,Fantasy,0,54321,321
Classroom of the Elite,Author2,Psychological,3,43251,4123
Starting Over,Sugura Miaki,Drama,17,32145,43123
warbreaker,brandon sanderson,epic fantasy,1,143245879,45
the sunlit man,brandon sanderson,epic fantasy,0,234535134,23
the invisivle life of addie la rue,dusk,romance,0,346724637,67
it,stephen king,horror,1,2234545,99
Book2,Author4,Comedy,41,97432-234829-222,12314
name of the wind,rofuth,fantasy,3,145134,345
moby dick,herman melville,fiction,7,256454,566
War and Peace,Leo Tolstoy,fiction,3,453451345,234
The Catcher in the Rye,J.D. Salinger,fiction,7,13451345134,245
The Lord of the Rings,J.R.R. Tolkien,fiction,67,3151431346,53
Crime and Punishment,Fyodor Dostoevsky,fiction,23,3043453467,635
Jane Eyre,Charlotte Brontë,fiction,7,26923454,235
The Hobbit,J.R.R. Tolkien,fiction,9,390257257,324
Anna Karenina,Leo Tolstoy,fiction,13,1745472457,76
The Adventures of Huckleberry Finn,Mark Twain,fiction,23,127245757,564
Great Expectations,Charles Dickens,fiction,13,21557347425,435
Wuthering Heights,Emily Brontë,fiction,10,39425425,245
Brave New World,Aldous Huxley,fiction,4,24572456,235
Fahrenheit 451,Ray Bradbury,fiction,8,33224572456,122
Animal Farm,George Orwell,fiction,5,159242457,234
The Grapes of Wrath,John Steinbeck,fiction,8,3674523,232
Les Misérables,Victor Hugo,fiction,4,46424574574,232
Dracula,Bram Stoker,fiction,54,2722457457,345
The Picture of Dorian Gray,Oscar Wilde,fiction,3,2614572457,126
Don Quixote,Miguel de Cervantes,fiction,9,4.53257E+11,234
Madame Bovary,Gustave Flaubert,fiction,4,37634574562,139
The Odyssey,Homer,fiction,7,2993457568,432
Frankenstein,Mary Shelley,fiction,8,11553683467,423
